,word,image_api,image,audio_api,audio,spelling,translation1,translation2,translation3,translation4,translation5,translation6
11,abuse,http://5.vndic.net/images/dict/a/abuse.gif,./Image/abuse.png,http://5.vndic.net/mp3.php?id=abuse&dir=138&lang=en&,./MP3/abuse.mp3,[ə'bju:s],"{'type': 'danh từ', 'meanings': [{'meaning': 'sự sử dụng hoặc đối xử sai/tồi tệ; sự lạm dụng', 'examples': [{'origin': 'abuse of power/authority', 'meaning': 'sự lạm quyền'}, {'origin': 'abuse of trust', 'meaning': 'sự lạm dụng lòng tin; sự bội tín'}, {'origin': 'to remedy abuses', 'meaning': 'sửa chữa thói lạm dụng'}, {'origin': 'drug abuse', 'meaning': 'sự sử dụng sai thuốc; sự lạm dụng thuốc'}, {'origin': 'child abuse', 'meaning': 'sự đối xử tệ với trẻ con'}]}, {'meaning': 'hành động bất lương', 'examples': [{'origin': 'to put a stop to political abuses', 'meaning': 'chấm dứt những thói mua chuộc đút lót về chính trị'}]}, {'meaning': 'sự lăng mạ, sự sỉ nhục, sự chửi rủa, sự xỉ vả', 'examples': [{'origin': 'to hurl a stream of abuse at somebody', 'meaning': 'lăng mạ ai tới tấp'}, {'origin': ""the word 'bastard' is often used as a term of abuse"", 'meaning': ""từ 'đồ chó đẻ' thường được dùng như một lời xỉ vả""}]}]}","{'type': 'ngoại động từ', 'meanings': [{'meaning': 'sử dụng sai hoặc bậy; lạm dụng', 'examples': [{'origin': ""to abuse one's power"", 'meaning': 'lạm dụng quyền hành của mình'}, {'origin': ""to abuse somebody's hospitality/confidence"", 'meaning': 'lạm dụng lòng hiếu khách/lòng tin của ai'}]}, {'meaning': 'lăng mạ; sỉ nhục', 'examples': [{'origin': 'to abuse somebody behind his back', 'meaning': 'nói xấu sau lưng ai'}]}, {'meaning': '(từ Mỹ,nghĩa Mỹ) ngược đãi, hành hạ', 'examples': [{'origin': 'a much abused wife', 'meaning': 'một người vợ bị chồng đối xử tệ bạc'}]}]}",,,,
12,academic,http://5.vndic.net/images/dict/a/academic.gif,./Image/academic.png,http://5.vndic.net/mp3.php?id=academic&dir=700&lang=en&,./MP3/academic.mp3,"[,ækə'demik]","{'type': 'tính từ', 'meanings': [{'meaning': 'thuộc (sự giảng dạy hoặc học tập ở) nhà trường, trường cao đẳng học viện; (thuộc) trường đại học', 'examples': []}, {'meaning': 'có tính chất học thuật', 'examples': [{'origin': 'an academic debate', 'meaning': 'một cuộc tranh luận có tính chất học thuật'}, {'origin': 'academic subjects', 'meaning': 'các môn học'}]}, {'meaning': 'lý thuyết suông, trừu tượng, không thực tế', 'examples': [{'origin': 'a matter of academic concern', 'meaning': 'một vấn đề thuộc lĩnh vực lý thuyết'}, {'origin': 'the question is purely academic', 'meaning': 'vấn đề này là thuần túy lý thuyết'}]}, {'meaning': '(văn nghệ) kinh viện', 'examples': [{'origin': 'academic painting', 'meaning': 'hội hoạ kinh viện'}]}, {'meaning': '(thuộc) trường phái triết học Pla-ton', 'examples': []}]}","{'type': 'danh từ', 'meanings': [{'meaning': 'hội viên học viện', 'examples': []}, {'meaning': 'viện sĩ', 'examples': []}]}",,,,
13,accept,http://5.vndic.net/images/dict/a/accept.gif,./Image/accept.png,http://5.vndic.net/mp3.php?id=accept&dir=557&lang=en&,./MP3/accept.mp3,[ək'sept],"{'type': 'ngoại động từ', 'meanings': [{'meaning': 'nhận, chấp nhận, chấp thuận', 'examples': [{'origin': 'to accept a proposal', 'meaning': 'chấp nhận một đề nghị'}, {'origin': 'to accept a present', 'meaning': 'nhận một món quà'}, {'origin': 'to accept an invitation', 'meaning': 'nhận lời mời'}]}, {'meaning': 'thừa nhận', 'examples': [{'origin': 'to accept a truth', 'meaning': 'thừa nhận một sự thật'}]}, {'meaning': 'đảm nhận (công việc...)', 'examples': []}, {'meaning': '(thương nghiệp) nhận thanh toán (hoá đơn, hối phiếu...)', 'examples': []}]}",,,,,
14,access,http://5.vndic.net/images/dict/a/access.gif,./Image/access.png,http://5.vndic.net/mp3.php?id=access&dir=209&lang=en&,./MP3/access.mp3,['ækses],"{'type': 'danh từ', 'meanings': [{'meaning': '(access to something) phương tiện đến gần hoặc đi vào nơi nào đó; đường vào', 'examples': [{'origin': 'the only access to the farmhouse is across the fields', 'meaning': 'lối duy nhất dẫn vào trang trại là băng qua các cánh đồng'}, {'origin': 'easy/difficult of access', 'meaning': 'dễ/khó lui tới'}, {'origin': 'the village is easy of access', 'meaning': 'đường vào làng dễ đi'}]}, {'meaning': 'sự dâng lên (nước triều)', 'examples': [{'origin': 'the access and recess of the sea', 'meaning': 'lúc triều lên và triều xuống ở biển'}]}, {'meaning': 'cơn', 'examples': [{'origin': 'access of anger', 'meaning': 'cơn giận'}, {'origin': 'access of illness', 'meaning': 'cơn bệnh'}]}, {'meaning': '(access to something / somebody) cơ hội/quyền sử dụng cái gì; sự đến gần ai', 'examples': [{'origin': 'to get access to classified information', 'meaning': 'được quyền sử dụng thông tin đã phân loại'}, {'origin': 'students must have access to a good library', 'meaning': 'sinh viên phải được quyền vào đọc sách ở một thư viện tốt'}, {'origin': 'only high officials had access to the President', 'meaning': 'chỉ những quan chức cao cấp mới có quyền đến gặp Tổng thống'}]}, {'meaning': '(tin học) sự truy cập (thông tin)', 'examples': []}]}","{'type': 'ngoại động từ', 'meanings': [{'meaning': '(tin học) truy cập', 'examples': [{'origin': 'to access a file', 'meaning': 'truy cập một tập tin'}]}]}",,,,
15,accident,http://5.vndic.net/images/dict/a/accident.gif,./Image/accident.png,http://5.vndic.net/mp3.php?id=accident&dir=336&lang=en&,./MP3/accident.mp3,['æksidənt],"{'type': 'danh từ', 'meanings': [{'meaning': 'sự rủi ro, tai nạn, tai biến', 'examples': [{'origin': 'without accident', 'meaning': 'an toàn không xảy ra tai nạn'}, {'origin': 'to meet with an accident', 'meaning': 'gặp rủi ro; gặp tai nạn, gặp tai biến'}, {'origin': 'accidents will happen', 'meaning': 'việc gì tới phải tới'}, {'origin': 'chapter of accidents', 'meaning': 'hàng loạt chuyện xui xẻo'}]}, {'meaning': 'sự tình cờ, sự ngẫu nhiên', 'examples': [{'origin': 'I only found it by accident', 'meaning': 'chỉ do tình cờ mà tôi tìm được cái đó'}]}, {'meaning': 'cái phụ, cái không chủ yếu', 'examples': []}, {'meaning': 'sự gồ ghề, sự khấp khểnh', 'examples': []}, {'meaning': '(âm nhạc) dấu thăng giáng bất thường', 'examples': []}]}",,,,,
16,accompany,http://5.vndic.net/images/dict/a/accompany.gif,./Image/accompany.png,http://5.vndic.net/mp3.php?id=accompany&dir=597&lang=en&,./MP3/accompany.mp3,[ə'kʌmpəni],"{'type': 'ngoại động từ', 'meanings': [{'meaning': 'đi cùng với ai như là một người bạn đường hoặc người giúp đỡ, người hộ tống', 'examples': [{'origin': 'I must ask you to accompany me to the police station', 'meaning': 'Tôi phải nhờ anh đi cùng tôi đến đồn cảnh sát'}, {'origin': 'he was accompanied on the expedition by his wife', 'meaning': 'vợ ông ta đi cùng với ông ta trong đoàn thám hiểm'}, {'origin': 'the Prime Minister is always accompanied by faithful body-guards', 'meaning': 'Thủ tướng luôn luôn được hộ tống bởi những vệ sĩ trung thành'}, {'origin': 'warships will accompany the convoy', 'meaning': 'tàu chiến sẽ làm nhiệm vụ hộ tống đoàn'}]}, {'meaning': '(to accompany something by / with something) có mặt hoặc xảy ra cùng với cái gì; cung cấp cái gì thêm vào cái gì', 'examples': []}, {'meaning': 'khác, phụ thêm vào', 'examples': [{'origin': 'war is accompanied by many natural calamities', 'meaning': 'kèm theo chiến tranh là nhiều hiểm hoạ thiên nhiên'}, {'origin': 'fever accompanied with delirium', 'meaning': 'sốt cao kèm theo mê sảng'}, {'origin': 'each application should be accompanied by a stamped addressed envelope', 'meaning': 'mỗi lá đơn phải có một phong bì có sẵn tem và địa chỉ kèm theo'}]}, {'meaning': '(âm nhạc) (to accompany somebody at / on something) đệm nhạc cho ai', 'examples': [{'origin': 'she is accompanied on the organ by her mother', 'meaning': 'cô ta được mẹ đệm đàn organ'}]}]}",,,,,
17,accomplish,,,http://5.vndic.net/mp3.php?id=accomplish&dir=883&lang=en&,./MP3/accomplish.mp3,[ə'kɔmpli∫],"{'type': 'ngoại động từ', 'meanings': [{'meaning': 'hoàn thành, làm xong, làm trọn', 'examples': [{'origin': ""to accomplish one's task"", 'meaning': 'hoàn thành nhiệm vụ'}, {'origin': ""to accomplish one's promise"", 'meaning': 'làm trọn lời hứa'}]}, {'meaning': 'thực hiện, đạt tới (mục đích...)', 'examples': [{'origin': ""to accomplish one's object"", 'meaning': 'đạt mục đích'}]}, {'meaning': 'làm (ai) hoàn hảo, làm (ai) đạt tới sự hoàn mỹ (về nhạc, hoạ, nữ công...)', 'examples': []}]}",,,,,
18,according,,,http://5.vndic.net/mp3.php?id=according&dir=356&lang=en&,./MP3/according.mp3,[ə'kɔ:diη],"{'type': 'giới từ', 'meanings': [{'meaning': '(according to) theo; y theo', 'examples': [{'origin': 'according to the archives, he was born in Paris (not in London)', 'meaning': 'theo hồ sơ lưu trữ, hắn chào đời ở Pari (chứ không phải ở Luân Đôn)'}, {'origin': 'everything went according to plan', 'meaning': 'mọi việc đều diễn ra theo đúng kế hoạch'}, {'origin': 'the work was done according to her instructions', 'meaning': 'công việc được tiến hành đúng theo lời chỉ dẫn của cô ấy'}, {'origin': 'arrange the exhibits according to size', 'meaning': 'hãy sắp xếp các hiện vật theo kích cỡ của chúng'}]}]}","{'type': 'liên từ', 'meanings': [{'meaning': '(according as) theo cách hoặc mức độ khác nhau; tùy theo', 'examples': [{'origin': 'every employee is salaried according as he is able', 'meaning': 'mỗi nhân viên đều được hưởng lương tùy theo khả năng của mình'}]}]}",,,,
19,account,http://5.vndic.net/images/dict/a/account.gif,./Image/account.png,http://5.vndic.net/mp3.php?id=account&dir=29&lang=en&,./MP3/account.mp3,[ə'kaunt],"{'type': 'danh từ', 'meanings': [{'meaning': 'sự tính toán số tiền phải trả hoặc nợ về hàng hoá hoặc dịch vụ', 'examples': [{'origin': 'to send in/render an account', 'meaning': 'giao/thanh toán một khoản tiền'}, {'origin': 'to keep accounts', 'meaning': 'giữ sổ sách kế toán'}, {'origin': 'the accounts show a big profit', 'meaning': 'sổ sách kế toán cho thấy tiền lời rất nhiều'}]}, {'meaning': '(tài chính) tài khoản (viết tắt) là a/c', 'examples': [{'origin': 'to have an account at/with that bank', 'meaning': 'có một tài khoản ở ngân hàng kia'}, {'origin': 'to open an account', 'meaning': 'mở tài khoản (gửi tiền vào)'}, {'origin': 'to close an account', 'meaning': 'rút tiền ra khỏi tài khoản'}, {'origin': 'Will you pay cash or shall I charge it to your account?', 'meaning': 'Ông muốn trả bằng tiền mặt hay là tôi sẽ trừ vào tài khoản của ông?'}]}, {'meaning': 'bản kê khai; bản báo cáo; bản miêu tả', 'examples': [{'origin': 'profit and loss account', 'meaning': 'bản kê khai lỗ lãi'}, {'origin': 'account of expenses', 'meaning': 'bản kê khai các khoản chi tiêu'}, {'origin': 'to make out an account of articles', 'meaning': 'làm bản kê khai hàng hoá'}, {'origin': 'to send in an account with the goods', 'meaning': 'gửi hàng kèm theo hoá đơn thanh toán tiền'}, {'origin': 'she gave the police a full account of the incident', 'meaning': 'cô ta báo cáo đầy đủ sự việc cho cảnh sát'}, {'origin': 'a detailed account of a football match', 'meaning': 'bài tường thuật chi tiết về một trận bóng đá'}, {'origin': ""don't believe the newspaper account (of what happened)"", 'meaning': 'đừng tin những điều mô tả trên báo chí (về những việc đã xảy ra)'}, {'origin': 'keep an account of your daily activities', 'meaning': 'hãy ghi sổ công việc hàng ngày của anh'}]}]}",,,,,
20,accurate,,,http://5.vndic.net/mp3.php?id=accurate&dir=547&lang=en&,./MP3/accurate.mp3,['ækjurit],"{'type': 'tính từ', 'meanings': [{'meaning': 'đúng đắn, chính xác, xác đáng', 'examples': [{'origin': 'an accurate watch', 'meaning': 'đồng hồ chính xác'}, {'origin': 'an accurate remark', 'meaning': 'một nhận xét xác đáng'}]}]}",,,,,
21,accuse,http://5.vndic.net/images/dict/a/accuse.gif,./Image/accuse.png,http://5.vndic.net/mp3.php?id=accuse&dir=877&lang=en&,./MP3/accuse.mp3,[ə'kju:z],"{'type': 'ngoại động từ', 'meanings': [{'meaning': '(to accuse somebody of something) buộc tội; kết tội', 'examples': [{'origin': 'to accuse sb of theft, of cheating', 'meaning': 'buộc tội ai vì trộm cắp, lừa đảo'}, {'origin': 'the accused', 'meaning': 'người bị kết tội, người bị buộc tội; bị cáo'}]}]}",,,,,
22,achieve,http://5.vndic.net/images/dict/a/achieve.gif,./Image/achieve.png,http://5.vndic.net/mp3.php?id=achieve&dir=322&lang=en&,./MP3/achieve.mp3,[ə't∫i:v],"{'type': 'ngoại động từ', 'meanings': [{'meaning': 'đạt được, giành được (do nỗ lực, khéo léo, dũng cảm...)', 'examples': [{'origin': ""to achieve one's purpose (aim)"", 'meaning': 'đạt mục đích'}, {'origin': 'to achieve good results', 'meaning': 'đạt được những kết quả tốt'}, {'origin': 'to achieve national independence', 'meaning': 'giành độc lập dân tộc'}, {'origin': 'to achieve great victories', 'meaning': 'giành được những chiến thắng lớn'}, {'origin': ""to achieve success, one's ambition, peace of mind"", 'meaning': 'đạt được thành công, toại chí, được thanh thản tâm hồn'}]}, {'meaning': 'hoàn thành, hoàn tất', 'examples': [{'origin': 'to achieve a great work', 'meaning': 'hoàn thành một công trình lớn'}, {'origin': ""to achieve one's task"", 'meaning': 'hoàn thành nhiệm vụ'}, {'origin': ""I've achieved only half of what I'd hoped to do"", 'meaning': 'tôi chỉ mới hoàn thành một nửa những điều tôi hy vọng làm'}]}]}",,,,,
23,achievement,,,http://5.vndic.net/mp3.php?id=achievement&dir=15&lang=en&,./MP3/achievement.mp3,[ə't∫i:vmənt],"{'type': 'danh từ', 'meanings': [{'meaning': 'thành tích, thành tựu', 'examples': [{'origin': 'to record great achievements', 'meaning': 'đạt được những thành tích to lớn'}, {'origin': 'a scientific achievement', 'meaning': 'một thành tựu khoa học'}]}, {'meaning': 'sự đạt được, sự giành được; sự hoàn thành', 'examples': [{'origin': 'the achievement of independence', 'meaning': 'sự giành được độc lập'}, {'origin': ""to celebrate the achievement of one's aims"", 'meaning': 'ăn mừng việc đạt được mục tiêu của mình'}]}, {'meaning': 'huy hiệu, huy chương (để ghi nhớ một thành tích vẻ vang)', 'examples': []}]}",,,,,
24,acid,http://5.vndic.net/images/dict/a/acid.gif,./Image/acid.png,http://5.vndic.net/mp3.php?id=acid&dir=496&lang=en&,./MP3/acid.mp3,['æsid],"{'type': 'danh từ', 'meanings': [{'meaning': '(hoá học) Axit', 'examples': []}, {'meaning': 'chất chua', 'examples': []}]}","{'type': 'tính từ', 'meanings': [{'meaning': 'Axit', 'examples': [{'origin': 'acid radical', 'meaning': 'gốc axit'}, {'origin': 'acid test', 'meaning': 'sự thử bằng axit'}]}, {'meaning': '(nghĩa bóng) gay go', 'examples': []}, {'meaning': 'chua', 'examples': []}, {'meaning': 'chua cay, gay gắt; gắt gỏng', 'examples': [{'origin': 'acid looks', 'meaning': 'vẻ gay gắt, vẻ gắt gỏng'}]}]}",,,,
25,acknowledge,http://5.vndic.net/images/dict/a/acknowledge.gif,./Image/acknowledge.png,http://5.vndic.net/mp3.php?id=acknowledge&dir=523&lang=en&,./MP3/acknowledge.mp3,[ək'nɔlidʒ],"{'type': 'ngoại động từ', 'meanings': [{'meaning': 'chấp nhận sự thật của cái gì; thừa nhận cái gì', 'examples': [{'origin': ""to acknowledge one's guilt"", 'meaning': 'nhận tội; thú tội'}, {'origin': 'to acknowledge the need for reform', 'meaning': 'thừa nhận sự cần thiết phải cải cách'}, {'origin': 'a generally acknowledged fact', 'meaning': 'một thực tế đã được mọi người thừa nhận'}, {'origin': 'he acknowledged it to be true/that it was true', 'meaning': 'anh ấy thừa nhận điều đó là đúng'}, {'origin': 'they refused to acknowledge defeat/that they were defeated/themselves beaten', 'meaning': 'họ không chịu thừa nhận thất bại/rằng họ đã bị thất bại/bản thân họ đã bị đánh bại'}, {'origin': 'the country acknowledged his claim to the throne', 'meaning': 'đất nước chấp nhận yêu sách của ông ta đối với ngai vàng'}]}, {'meaning': '(to acknowledge somebody as something) công nhận; thừa nhận', 'examples': [{'origin': 'he was acknowledged as/to be the best player in the team', 'meaning': 'anh ta được công nhận là cầu thủ xuất sắc nhất trong đội'}, {'origin': 'he acknowledge me as his equal', 'meaning': 'hắn thừa nhận tôi là người ngang tài ngang sức với hắn'}]}, {'meaning': 'báo cho biết đã nhận được', 'examples': [{'origin': 'to acknowledge (receipt of) a letter', 'meaning': 'báo là đã nhận được thư'}]}, {'meaning': 'bày tỏ lòng biết ơn về việc gì', 'examples': [{'origin': ""to acknowledge someone's help"", 'meaning': 'cảm tạ sự giúp đỡ của ai'}, {'origin': 'his services to the country were never officially acknowledged', 'meaning': 'những công lao của ông ấy đối với đât nước không hề được chính thức đền đáp'}]}, {'meaning': 'tỏ ra mình đã lưu ý hoặc nhận ra (ai) bằng một nụ cười, lời chào', 'examples': [{'origin': ""I was among the guests, but she didn't acknowledge me/my presence"", 'meaning': 'Tôi ở trong số khách mời, nhưng cô ta không nhận thấy sự hiện diện của tôi'}]}]}",,,,,
26,acquire,http://5.vndic.net/images/dict/a/acquire.gif,./Image/acquire.png,http://5.vndic.net/mp3.php?id=acquire&dir=895&lang=en&,./MP3/acquire.mp3,[ə'kwaiə],"{'type': 'ngoại động từ', 'meanings': [{'meaning': 'được, giành được, thu được, đạt được, kiếm được', 'examples': [{'origin': 'to acquire a good reputation', 'meaning': 'được tiếng tốt'}, {'origin': 'acquired characteristic', 'meaning': '(sinh vật học) tính chất thu được'}, {'origin': 'an acquired taste', 'meaning': 'sở thích do quen mà có'}, {'origin': 'acquired immuno-deficiency syndrome', 'meaning': 'hội chứng khiếm khuyết miễn dịch mắc phải (bệnh AIDS hay SIDA)'}]}]}",,,,,
